Orthogroup	Augustus on AGIS1.0_ Protein sequence	Augustus on BSM_ Protein sequence	Augustus on CI_ Protein sequence	Augustus on GJ_ Protein sequence	Augustus on IN_ Protein sequence	Augustus on KM_ Protein sequence	Augustus on MPE_ Protein sequence	Augustus on PP_ Protein sequence
OG0040737	NC_089035.1.g98							
OG0040738	NC_089035.1.g181							
OG0040739	NC_089035.1.g235							
OG0040740	NC_089035.1.g293							
OG0040741	NC_089035.1.g312							
OG0040742	NC_089035.1.g329							
OG0040743	NC_089035.1.g378							
OG0040744	NC_089035.1.g391							
OG0040745	NC_089035.1.g442							
OG0040746	NC_089035.1.g556							
OG0040747	NC_089035.1.g568							
OG0040748	NC_089035.1.g613							
OG0040749	NC_089035.1.g776							
OG0040750	NC_089035.1.g802							
OG0040751	NC_089035.1.g1473							
OG0040752	NC_089035.1.g1595							
OG0040753	NC_089035.1.g1699							
OG0040754	NC_089035.1.g1822							
OG0040755	NC_089035.1.g1841							
OG0040756	NC_089035.1.g1865							
OG0040757	NC_089035.1.g1871							
OG0040758	NC_089035.1.g1962							
OG0040759	NC_089035.1.g2122							
OG0040760	NC_089035.1.g2130							
OG0040761	NC_089035.1.g2206							
OG0040762	NC_089035.1.g2269							
OG0040763	NC_089035.1.g2295							
OG0040764	NC_089035.1.g2449							
OG0040765	NC_089035.1.g2618							
OG0040766	NC_089035.1.g2623							
OG0040767	NC_089035.1.g2683							
OG0040768	NC_089035.1.g2773							
OG0040769	NC_089035.1.g2910							
OG0040770	NC_089035.1.g2968							
OG0040771	NC_089035.1.g3027							
OG0040772	NC_089035.1.g3117							
OG0040773	NC_089035.1.g3147							
OG0040774	NC_089035.1.g3150							
OG0040775	NC_089035.1.g3158							
OG0040776	NC_089035.1.g3176							
OG0040777	NC_089035.1.g3216							
OG0040778	NC_089035.1.g3271							
OG0040779	NC_089035.1.g3279							
OG0040780	NC_089035.1.g3280							
OG0040781	NC_089035.1.g3299							
OG0040782	NC_089035.1.g3368							
OG0040783	NC_089035.1.g3407							
OG0040784	NC_089035.1.g3519							
OG0040785	NC_089035.1.g3725							
OG0040786	NC_089035.1.g3882							
OG0040787	NC_089035.1.g4033							
OG0040788	NC_089035.1.g4063							
OG0040789	NC_089035.1.g4172							
OG0040790	NC_089035.1.g4250							
OG0040791	NC_089035.1.g4500							
OG0040792	NC_089035.1.g4840							
OG0040793	NC_089035.1.g5035							
OG0040794	NC_089035.1.g5036							
OG0040795	NC_089035.1.g5176							
OG0040796	NC_089035.1.g5194							
OG0040797	NC_089035.1.g5274							
OG0040798	NC_089036.1.g5410							
OG0040799	NC_089036.1.g5640							
OG0040800	NC_089036.1.g5928							
OG0040801	NC_089036.1.g6000							
OG0040802	NC_089036.1.g6060							
OG0040803	NC_089036.1.g6130							
OG0040804	NC_089036.1.g6236							
OG0040805	NC_089036.1.g6265							
OG0040806	NC_089036.1.g6429							
OG0040807	NC_089036.1.g6533							
OG0040808	NC_089036.1.g6748							
OG0040809	NC_089036.1.g6786							
OG0040810	NC_089036.1.g6800							
OG0040811	NC_089036.1.g6844							
OG0040812	NC_089036.1.g6864							
OG0040813	NC_089036.1.g6891							
OG0040814	NC_089036.1.g6902							
OG0040815	NC_089036.1.g6903							
OG0040816	NC_089036.1.g6917							
OG0040817	NC_089036.1.g6981							
OG0040818	NC_089036.1.g7019							
OG0040819	NC_089036.1.g7023							
OG0040820	NC_089036.1.g7028							
OG0040821	NC_089036.1.g7086							
OG0040822	NC_089036.1.g7114							
OG0040823	NC_089036.1.g7268							
OG0040824	NC_089036.1.g7323							
OG0040825	NC_089036.1.g7324							
OG0040826	NC_089036.1.g7398							
OG0040827	NC_089036.1.g7578							
OG0040828	NC_089036.1.g7589							
OG0040829	NC_089036.1.g7591							
OG0040830	NC_089036.1.g7669							
OG0040831	NC_089036.1.g7712							
OG0040832	NC_089036.1.g7825							
OG0040833	NC_089036.1.g7904							
OG0040834	NC_089036.1.g7950							
OG0040835	NC_089036.1.g8301							
OG0040836	NC_089036.1.g8456							
OG0040837	NC_089036.1.g8532							
OG0040838	NC_089036.1.g8585							
OG0040839	NC_089036.1.g8882							
OG0040840	NC_089036.1.g8970							
OG0040841	NC_089036.1.g9100							
OG0040842	NC_089037.1.g9917							
OG0040843	NC_089037.1.g10047							
OG0040844	NC_089037.1.g10361							
OG0040845	NC_089037.1.g10362							
OG0040846	NC_089037.1.g10370							
OG0040847	NC_089037.1.g10391							
OG0040848	NC_089037.1.g10436							
OG0040849	NC_089037.1.g10565							
OG0040850	NC_089037.1.g10596							
OG0040851	NC_089037.1.g10781							
OG0040852	NC_089037.1.g10957							
OG0040853	NC_089037.1.g10988							
OG0040854	NC_089037.1.g11012							
OG0040855	NC_089037.1.g11079							
OG0040856	NC_089037.1.g11080							
OG0040857	NC_089037.1.g11099							
OG0040858	NC_089037.1.g11133							
OG0040859	NC_089037.1.g11216							
OG0040860	NC_089037.1.g11341							
OG0040861	NC_089037.1.g11444							
OG0040862	NC_089037.1.g11501							
OG0040863	NC_089037.1.g11608							
OG0040864	NC_089037.1.g11619							
OG0040865	NC_089037.1.g11648							
OG0040866	NC_089037.1.g11662							
OG0040867	NC_089037.1.g11721							
OG0040868	NC_089037.1.g11781							
OG0040869	NC_089037.1.g11897							
OG0040870	NC_089037.1.g12287							
OG0040871	NC_089037.1.g12346							
OG0040872	NC_089037.1.g12389							
OG0040873	NC_089037.1.g12454							
OG0040874	NC_089037.1.g12727							
OG0040875	NC_089037.1.g12994							
OG0040876	NC_089037.1.g13102							
OG0040877	NC_089037.1.g13134							
OG0040878	NC_089037.1.g13558							
OG0040879	NC_089037.1.g13704							
OG0040880	NC_089037.1.g13938							
OG0040881	NC_089038.1.g14041							
OG0040882	NC_089038.1.g14055							
OG0040883	NC_089038.1.g14060							
OG0040884	NC_089038.1.g14076							
OG0040885	NC_089038.1.g14212							
OG0040886	NC_089038.1.g14221							
OG0040887	NC_089038.1.g14244							
OG0040888	NC_089038.1.g14263							
OG0040889	NC_089038.1.g14333							
OG0040890	NC_089038.1.g14347							
OG0040891	NC_089038.1.g14354							
OG0040892	NC_089038.1.g14359							
OG0040893	NC_089038.1.g14417							
OG0040894	NC_089038.1.g14424							
OG0040895	NC_089038.1.g14436							
OG0040896	NC_089038.1.g14444							
OG0040897	NC_089038.1.g14456							
